league_id,league_name,season_id,season,game_id,gamedate,team_id,team_name,goals,penalty,result
9,Premier League,333,2016-2017,76091,2017-04-08 12:30:00.000,2275,Watford,0,NULL,0
9,Premier League,333,2016-2017,76091,2017-04-08 12:30:00.000,564,Tottenham,4,NULL,1
9,Premier League,333,2016-2017,76092,2017-04-08 15:00:00.000,2108,Southampton,1,NULL,1
9,Premier League,333,2016-2017,76092,2017-04-08 15:00:00.000,665,West Bromwich,0,NULL,0
9,Premier League,333,2016-2017,76093,2017-04-08 15:00:00.000,675,Swansea,0,NULL,0
9,Premier League,333,2016-2017,76093,2017-04-08 15:00:00.000,571,West Ham United,1,NULL,1
9,Premier League,333,2016-2017,76094,2017-04-15 15:00:00.000,2198,Leicester City,2,NULL,2
9,Premier League,333,2016-2017,76094,2017-04-15 15:00:00.000,2139,Crystal Palace,2,NULL,2
9,Premier League,333,2016-2017,76095,2017-04-15 15:00:00.000,2199,Burnley,1,NULL,0
9,Premier League,333,2016-2017,76095,2017-04-15 15:00:00.000,568,Everton,3,NULL,1
9,Premier League,333,2016-2017,76096,2017-04-16 16:00:00.000,580,Chelsea,0,NULL,0
9,Premier League,333,2016-2017,76096,2017-04-16 16:00:00.000,562,Manchester United,2,NULL,1
9,Premier League,333,2016-2017,76097,2017-04-15 17:30:00.000,573,Manchester City,3,NULL,1
9,Premier League,333,2016-2017,76097,2017-04-15 17:30:00.000,2108,Southampton,0,NULL,0
9,Premier League,333,2016-2017,76098,2017-04-15 15:00:00.000,2138,Hull City,1,NULL,0
9,Premier League,333,2016-2017,76098,2017-04-15 15:00:00.000,578,Stoke,3,NULL,1
9,Premier League,333,2016-2017,76099,2017-04-15 15:00:00.000,571,West Ham United,2,NULL,2
9,Premier League,333,2016-2017,76099,2017-04-15 15:00:00.000,575,Sunderland,2,NULL,2
9,Premier League,333,2016-2017,76100,2017-04-15 12:30:00.000,2276,AFC Bournemouth,0,NULL,0
9,Premier League,333,2016-2017,76100,2017-04-15 12:30:00.000,564,Tottenham,4,NULL,1
9,Premier League,333,2016-2017,76101,2017-04-15 15:00:00.000,675,Swansea,0,NULL,0
9,Premier League,333,2016-2017,76101,2017-04-15 15:00:00.000,2275,Watford,1,NULL,1
9,Premier League,333,2016-2017,76102,2017-04-16 13:30:00.000,565,Liverpool,1,NULL,1
9,Premier League,333,2016-2017,76102,2017-04-16 13:30:00.000,665,West Bromwich,0,NULL,0
9,Premier League,333,2016-2017,76103,2017-04-22 15:00:00.000,2294,Middlesbrough,0,NULL,0
9,Premier League,333,2016-2017,76103,2017-04-22 15:00:00.000,2276,AFC Bournemouth,4,NULL,1
9,Premier League,333,2016-2017,76104,2017-05-16 19:45:00.000,575,Sunderland,0,NULL,0
9,Premier League,333,2016-2017,76104,2017-05-16 19:45:00.000,569,Arsenal,2,NULL,1
9,Premier League,333,2016-2017,76105,2017-04-23 14:15:00.000,562,Manchester United,2,NULL,1
9,Premier League,333,2016-2017,76105,2017-04-23 14:15:00.000,2199,Burnley,0,NULL,0
9,Premier League,333,2016-2017,76106,2017-04-25 19:45:00.000,2108,Southampton,2,NULL,0
9,Premier League,333,2016-2017,76106,2017-04-25 19:45:00.000,580,Chelsea,4,NULL,1
9,Premier League,333,2016-2017,76107,2017-04-22 15:00:00.000,2275,Watford,0,NULL,0
9,Premier League,333,2016-2017,76107,2017-04-22 15:00:00.000,2138,Hull City,2,NULL,1
